Country Name,Country Code,GDPPerCapita19
Aruba,ABW,31650.7605367511
Africa Eastern and Southern,AFE,1500.22927438203
Afghanistan,AFG,500.522664145294
Africa Western and Central,AFW,1749.30331701118
Angola,AGO,2142.23875712854
Albania,ALB,5396.21586434732
Andorra,AND,41327.5020305489
Arab World,ARB,6384.39049221952
United Arab Emirates,ARE,45376.1708381558
Argentina,ARG,9963.6725062053
Armenia,ARM,4828.50517771789
American Samoa,ASM,13672.576657298
Antigua and Barbuda,ATG,18319.4560540762
Australia,AUS,54941.4341793948
Austria,AUT,50070.4033482901
Azerbaijan,AZE,4805.75371765917
Burundi,BDI,216.972968085123
Belgium,BEL,46638.6813054855
Benin,BEN,1170.96553298099
Burkina Faso,BFA,772.166894917835
Bangladesh,BGD,2122.07885124799
Bulgaria,BGR,9879.33434282707
Bahrain,BHR,25869.1129129041
"Bahamas, The",BHS,32610.4850490784
Bosnia and Herzegovina,BIH,6011.37067052755
Belarus,BLR,6837.71782606351
Belize,BLZ,6210.56554311929
Bermuda,BMU,116153.166121638
Bolivia,BOL,3472.38083075685
Brazil,BRA,8845.25911841876
Barbados,BRB,19002.9623813263
Brunei Darussalam,BRN,30748.7374865551
Bhutan,BTN,3303.96421053812
Botswana,BWA,6679.16767381458
Central African Republic,CAF,426.408762581226
Canada,CAN,46328.6718408497
Central Europe and the Baltics,CEB,16358.4741498916
Switzerland,CHE,84121.9310304414
Channel Islands,CHI,
Chile,CHL,14631.9468779229
China,CHN,10143.8381955585
Cote d'Ivoire,CIV,2238.81100489009
Cameroon,CMR,1538.68794663506
"Congo, Dem. Rep.",COD,575.882790805511
"Congo, Rep.",COG,2288.80813763495
Colombia,COL,6438.06018290435
Comoros,COM,1510.79735809965
Cabo Verde,CPV,3434.56274492859
Costa Rica,CRI,12669.341068679
Caribbean small states,CSS,10429.3320396051
Cuba,CUB,9139.41585605765
Curacao,CUW,19024.1771511889
Cayman Islands,CYM,89871.9131394463
Cyprus,CYP,29417.138671875
Czechia,CZE,23664.8478631108
Germany,DEU,46793.6867616004
Djibouti,DJI,2876.04366371536
Dominica,DMA,8561.58701121461
Denmark,DNK,59592.9806886454
Dominican Republic,DOM,8173.33800656006
Algeria,DZA,4022.15018374716
East Asia & Pacific (excluding high income),EAP,8169.16783730136
Early-demographic dividend,EAR,3489.13106081302
East Asia & Pacific,EAS,11482.5316836638
Europe & Central Asia (excluding high income),ECA,8129.88601672878
Europe & Central Asia,ECS,24870.2619868165
Ecuador,ECU,6233.25816692363
"Egypt, Arab Rep.",EGY,2869.57658843903
Euro area,EMU,39182.5483400922
Eritrea,ERI,
Spain,ESP,29581.5185513299
Estonia,EST,23424.4847073518
Ethiopia,ETH,840.449451464836
European Union,EUU,35079.4691496775
Fragile and conflict affected situations,FCS,1874.0720163942
Finland,FIN,48629.8582283032
Fiji,FJI,5968.30055949885
France,FRA,40494.8982936276
Faroe Islands,FRO,63383.196148417
"Micronesia, Fed. Sts.",FSM,3699.08151446862
Gabon,GAB,7523.8622784598
United Kingdom,GBR,42747.080460496
Georgia,GEO,4696.15058555612
Ghana,GHA,2167.91158941087
Gibraltar,GIB,
Guinea,GIN,1043.8998820932
"Gambia, The",GMB,722.874793145171
Guinea-Bissau,GNB,730.611448705215
Equatorial Guinea,GNQ,7317.39018853546
Greece,GRC,19144.284387556
Grenada,GRD,9887.92074235834
Greenland,GRL,53256.2440862119
Guatemala,GTM,4647.69334663252
Guam,GUM,37752.633077142
Guyana,GUY,6477.29672607993
High income,HIC,44723.9289448888
"Hong Kong SAR, China",HKG,48356.0635043614
Honduras,HND,2519.37019370185
Heavily indebted poor countries (HIPC),HPC,978.793970236792
Croatia,HRV,15331.8830536722
Haiti,HTI,1324.84400548618
Hungary,HUN,16782.9524639857
IBRD only,IBD,6435.95331924092
IDA & IBRD total,IBT,5124.48713009159
IDA total,IDA,1376.90879837575
IDA blend,IDB,1827.16847357077
Indonesia,IDN,4151.22754296453
IDA only,IDX,1149.25488998603
Isle of Man,IMN,87157.4714603395
India,IND,2047.23270433512
Not classified,INX,
Ireland,IRL,80927.0746710666
"Iran, Islamic Rep.",IRN,3277.875595507
Iraq,IRQ,5621.18169491752
Iceland,ISL,68853.71521658
Israel,ISR,44452.2325623093
Italy,ITA,33673.7509627421
Jamaica,JAM,5626.17117652759
Jordan,JOR,4205.56365350106
Japan,JPN,40458.0018755824
Kazakhstan,KAZ,9812.5958082732
Kenya,KEN,1970.10514317888
Kyrgyz Republic,KGZ,1374.03210467421
Cambodia,KHM,1671.38538492515
Kiribati,KIR,1432.17898537689
Saint Kitts and Nevis,KNA,23219.3314206225
"Korea, Rep.",KOR,31902.4169048194
Kuwait,KWT,30667.3482202553
Latin America & Caribbean (excluding high income),LAC,8181.62274744186
Lao PDR,LAO,2598.50552320723
Lebanon,LBN,8985.57249887356
Liberia,LBR,665.878447568436
Libya,LBY,10542.1492864798
St. Lucia,LCA,11726.7697662964
Latin America & Caribbean,LCN,8707.18736820255
Least developed countries: UN classification,LDC,1090.00328554806
Low income,LIC,704.491273951095
Liechtenstein,LIE,167019.618092859
Sri Lanka,LKA,4082.69461963515
Lower middle income,LMC,2386.48858914775
Low & middle income,LMY,4950.73417860259
Lesotho,LSO,1102.56486953249
Late-demographic dividend,LTE,9979.25411184343
Lithuania,LTU,19595.1415724355
Luxembourg,LUX,112621.821337404
Latvia,LVA,17945.2222164984
"Macao SAR, China",MAC,83183.1666089243
St. Martin (French part),MAF,
Morocco,MAR,3498.57397460938
Monaco,MCO,199377.481831603
Moldova,MDA,4493.37030323867
Madagascar,MDG,512.279659659088
Maldives,MDV,11118.5565375032
Middle East & North Africa,MEA,7338.01401576618
Mexico,MEX,10145.1701829207
Marshall Islands,MHL,5188.97111429082
Middle income,MIC,5448.65078025163
North Macedonia,MKD,6070.38805358275
Mali,MLI,840.175765032737
Malta,MLT,31198.2414453028
Myanmar,MMR,1295.2014475589
Middle East & North Africa (excluding high income),MNA,3439.30433515147
Montenegro,MNE,8909.65333601178
Mongolia,MNG,4394.94714713374
Northern Mariana Islands,MNP,23707.3288138313
Mozambique,MOZ,508.163674567861
Mauritania,MRT,1839.964449578
Mauritius,MUS,11405.7268191397
Malawi,MWI,584.362867276266
Malaysia,MYS,11132.0239344924
North America,NAC,63198.7013177896
Namibia,NAM,5126.17614357634
New Caledonia,NCL,34797.5186645024
Niger,NER,550.963555536013
Nigeria,NGA,2204.18157415589
Nicaragua,NIC,1890.27306467363
Netherlands,NLD,52476.2732533327
Norway,NOR,75719.7528965342
Nepal,NPL,1185.68267540752
Nauru,NRU,9786.02652564979
New Zealand,NZL,42865.233643554
OECD members,OED,39531.6603463651
Oman,OMN,19132.1522739094
Other small states,OSS,13540.4002873269
Pakistan,PAK,1437.16590678288
Panama,PAN,15826.0823544866
Peru,PER,6955.80995882668
Philippines,PHL,3413.84792378255
Palau,PLW,15567.0908684974
Papua New Guinea,PNG,2593.80465015989
Poland,POL,15699.9113500703
Pre-demographic dividend,PRE,1455.60148016876
Puerto Rico,PRI,32916.866800639
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,23330.817288932
Paraguay,PRY,5807.83879407975
West Bank and Gaza,PSE,3656.85827137011
Pacific island small states,PSS,4233.4136752437
Post-demographic dividend,PST,45700.938132739
French Polynesia,PYF,20023.5047046924
Qatar,QAT,62637.2751084291
Romania,ROU,12958.0755553785
Russian Federation,RUS,11536.2509765625
Rwanda,RWA,806.879981050775
South Asia,SAS,1962.80287524759
Saudi Arabia,SAU,22430.238229402
Sudan,SDN,748.010925292969
Senegal,SEN,1462.35433280275
Singapore,SGP,65831.1894308765
Solomon Islands,SLB,2398.77275659429
Sierra Leone,SLE,506.606894364098
El Salvador,SLV,4280.28840404719
San Marino,SMR,47287.3983949924
Somalia,SOM,405.786763279583
Serbia,SRB,7417.20364852201
Sub-Saharan Africa (excluding high income),SSA,1599.75918622443
South Sudan,SSD,
Sub-Saharan Africa,SSF,1601.1217636118
Small states,SST,12427.5767384523
Sao Tome and Principe,STP,1991.73826385183
Suriname,SUR,6690.04478601228
Slovak Republic,SVK,19383.4810445228
Slovenia,SVN,26016.078683914
Sweden,SWE,51939.4297445291
Eswatini,SWZ,3843.3773913814
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,17253.5056614424
Syrian Arab Republic,SYR,1116.67924613649
Turks and Caicos Islands,TCA,27795.1485608171
Chad,TCD,701.621216594764
East Asia & Pacific (IDA & IBRD countries),TEA,8259.79560508293
Europe & Central Asia (IDA & IBRD countries),TEC,9019.71737353636
Togo,TGO,875.932659234798
Thailand,THA,7630.03960991873
Tajikistan,TJK,889.02026237745
Turkmenistan,TKM,7344.64823305792
Latin America & the Caribbean (IDA & IBRD countries),TLA,8526.26578328322
Timor-Leste,TLS,1584.26384378261
Middle East & North Africa (IDA & IBRD countries),TMN,3436.759720384
Tonga,TON,4879.0173416227
South Asia (IDA & IBRD),TSA,1962.80287524759
Sub-Saharan Africa (IDA & IBRD countries),TSS,1601.1217636118
Trinidad and Tobago,TTO,15690.9630955493
Tunisia,TUN,3477.88377711232
Turkiye,TUR,9103.04337531894
Tuvalu,TUV,4949.17388770172
Tanzania,TZA,1052.02172851563
Uganda,UGA,823.138950454868
Ukraine,UKR,3661.45629882813
Upper middle income,UMC,9534.00511269487
Uruguay,URY,17859.9314960921
United States,USA,65120.3946628653
Uzbekistan,UZB,1784.00981608195
St. Vincent and the Grenadines,VCT,8674.37100857481
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,38596.0307118282
Vietnam,VNM,3491.09127354876
Vanuatu,VUT,3076.58988588361
World,WLD,11319.7541087933
Samoa,WSM,4308.27275342784
Kosovo,XKX,4416.10835754636
"Yemen, Rep.",YEM,
South Africa,ZAF,6688.78727128797
Zambia,ZMB,1268.12094056241
Zimbabwe,ZWE,1421.86859641758
Taiwan,TWN,53476
